year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2013,ACURA,Honda,TL,2WD,MID-SIZE,3.5,6,AS6,A,6,Z,11.8,8.1,10.1,28,232
2018,Toyota,Toyota,Highlander AWD,AWD,SUV - STANDARD,3.5,6,AS8,A,8,X,12.1,9,10.6,27,251
2018,Toyota,Toyota,Highlander AWD (Start/Stop System),AWD,SUV - STANDARD,3.5,6,AS8,A,8,X,12,8.9,10.6,27,247
2018,Toyota,Toyota,Highlander AWD LE,AWD,SUV - STANDARD,3.5,6,AS8,A,8,X,11.7,8.8,10.4,27,242
2018,Toyota,Toyota,Highlander Hybrid AWD,AWD,SUV - STANDARD,3.5,6,AV6,AV,V,X,8.1,8.5,8.3,34,193
2014,ACURA,Honda,TL,2WD,MID-SIZE,3.5,6,AS6,A,6,Z,11.8,8.1,10.1,28,232
2015,ACURA,Honda,TLX,2WD,COMPACT,2.4,4,AM8,A,8,Z,9.6,6.6,8.3,34,191
2015,ACURA,Honda,TLX,2WD,COMPACT,3.5,6,AS9,A,9,Z,11.2,6.9,9.2,31,212
2016,ACURA,Honda,TLX,2WD,COMPACT,2.4,4,AM8,A,8,Z,9.6,6.6,8.3,34,196
2018,Toyota,Toyota,RAV4 AWD,AWD,SUV - SMALL,2.5,4,AS6,A,6,X,10.5,8.3,9.5,30,222
