year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2018,Chevrolet,GM,Tahoe FFV,2WD,SUV - STANDARD,5.3,8,A6,A,6,E,19.8,13.9,17.2,16,285
2019,Chevrolet,GM,Tahoe FFV,2WD,SUV - STANDARD,5.3,8,A6,A,6,X,15.7,10.5,13.4,21,314
2018,Nissan,Renault-Nissan,Armada 4WD,4WD,SUV - STANDARD,5.6,8,AS7,A,7,X,17.5,12.8,15.4,18,362
2019,Chevrolet,GM,Tahoe FFV,2WD,SUV - STANDARD,5.3,8,A6,A,6,E,21.2,13.9,17.9,16,298
2010,CHEVROLET,GM,TAHOE HYBRID,2WD,SUV - STANDARD,6,8,AV,AV,V,X,11.1,10.7,10.9,26,251
2011,CHEVROLET,GM,TAHOE HYBRID,2WD,SUV - STANDARD,6,8,AV,AV,V,X,11.5,9.9,10.8,26,248
2018,Nissan,Renault-Nissan,Frontier 4WD,4WD,PICKUP TRUCK - SMALL,4,6,A5,A,5,X,15.8,11.5,13.9,20,326
2018,Nissan,Renault-Nissan,Frontier 4WD,4WD,PICKUP TRUCK - SMALL,4,6,M6,M,6,X,15.1,11.5,13.5,21,317
2012,CHEVROLET,GM,TAHOE HYBRID,2WD,SUV - STANDARD,6,8,AV,AV,V,X,11.5,9.9,10.8,26,248
2013,CHEVROLET,GM,TAHOE HYBRID,2WD,SUV - STANDARD,6,8,AV,AV,V,X,11.5,9.9,10.8,26,248
2010,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,A6,A,6,X,13.1,8.6,11.1,25,255
2010,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.2,8.8,11.2,25,258
2011,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,A6,A,6,X,13.1,8.6,11.1,25,255
2011,FORD,Ford,TAURUS,2WD,FULL-SIZE,3.5,6,AS6,A,6,X,13.2,8.8,11.2,25,258
